level,result,block_reached,total_length,time
level_847.txt,1,187,187,25
level_848.txt,1,188,188,24
level_849.txt,1,166,167,17
level_850.txt,0,131,169,45
level_851.txt,1,147,147,21
level_852.txt,1,157,157,22
level_853.txt,1,182,182,24
level_854.txt,1,184,184,25
level_855.txt,0,10,178,45
level_856.txt,1,161,161,23
level_857.txt,1,152,152,22
level_858.txt,0,171,172,20
level_859.txt,1,162,162,23
level_860.txt,1,165,165,23
level_861.txt,1,148,148,23
level_862.txt,1,168,168,22
level_863.txt,1,175,175,25
level_864.txt,0,170,178,19
level_865.txt,1,179,179,23
level_866.txt,1,168,168,24
level_867.txt,1,160,160,21
level_868.txt,1,168,168,23
level_869.txt,1,175,175,24
level_870.txt,1,152,152,22
level_871.txt,1,154,154,22
level_872.txt,1,151,151,21
level_873.txt,1,196,196,28
level_874.txt,1,146,146,20
level_875.txt,1,169,169,25
level_876.txt,1,157,157,23
level_877.txt,1,169,169,24
level_878.txt,1,149,149,20
level_879.txt,1,160,160,31
level_880.txt,1,176,176,24
level_881.txt,1,161,161,22
level_882.txt,0,44,175,45
level_883.txt,1,177,177,26
level_884.txt,1,140,140,21
level_885.txt,1,177,177,24
level_886.txt,1,159,159,23
level_887.txt,1,163,163,24
level_888.txt,0,37,162,45
level_889.txt,1,145,145,20
level_890.txt,1,179,179,26
level_891.txt,1,176,176,24
level_892.txt,1,177,177,25
level_893.txt,1,176,176,24
level_894.txt,1,179,179,25
level_895.txt,1,160,160,23
level_896.txt,1,161,161,23
level_897.txt,1,169,169,23
level_898.txt,1,145,145,22
level_899.txt,1,163,163,24
level_900.txt,1,191,191,25
level_901.txt,1,172,172,24
level_902.txt,1,192,192,27
level_903.txt,0,137,177,45
level_904.txt,1,179,179,25
level_905.txt,1,161,161,22
level_906.txt,0,115,151,45
level_907.txt,1,168,168,25
level_908.txt,1,143,143,20
level_909.txt,1,162,162,22
level_910.txt,0,107,156,45
level_911.txt,1,197,197,26
level_912.txt,1,163,163,23
level_913.txt,0,142,161,45
level_914.txt,1,187,187,24
level_915.txt,1,167,167,23
level_916.txt,0,87,128,45
level_917.txt,1,139,139,22
level_918.txt,0,125,175,45
level_919.txt,1,182,182,26
level_920.txt,1,142,142,21
level_921.txt,1,160,160,25
level_922.txt,1,163,163,25
level_923.txt,1,176,176,24
level_924.txt,1,158,158,21
level_925.txt,1,185,185,25
level_926.txt,1,165,165,24
